col1;col2;col3;col4;col5;col6
1.79;0.654161;0.180781;0.276355;1.45776;0.461412
1.8;0.651636;0.177985;0.273136;1.46959;0.457698
1.81;0.649116;0.175228;0.269948;1.4816;0.453989
1.82;0.646602;0.172508;0.266792;1.49378;0.450287
1.83;0.644094;0.169827;0.263669;1.50614;0.446591
1.84;0.641592;0.167184;0.260577;1.51868;0.442903
1.85;0.639095;0.164577;0.257516;1.53141;0.439223
1.86;0.636605;0.162008;0.254487;1.54431;0.435551
1.87;0.63412;0.159474;0.251489;1.55741;0.43189
1.88;0.631642;0.156977;0.248523;1.57069;0.428238
1.89;0.62917;0.154516;0.245587;1.58416;0.424597
1.9;0.626704;0.15209;0.242682;1.59782;0.420967
1.91;0.624244;0.149698;0.2398;1.61167;0.417349
1.92;0.621792;0.147342;0.236963;1.62572;0.413743
1.93;0.619345;0.145019;0.234149;1.63996;0.41015
1.94;0.616905;0.142731;0.231366;1.6544;0.40657
1.95;0.614472;0.140475;O.Z28611;1.66904;0.403004
1.96;0.612046;0.138253;0.225887;1.68388;0.399452
1.97;0.609627;0.136064;0.223192;1.69892;0.395915
1.98;0.607214;0.133906;0.220526;1.71417;0.392393
1.99;0.604808;0.131781;0.217889;1.72962;0.388887
2;0.60241;0.129687;0.21581;1.74529;0.385396
2;0.60241;0.129687;0.215281;1.74529;0.385396
2.02;0.597634;0.125593;0.21015;1.77726;0.378464
2.04;0.592886;0.12162;0.205133;1.81008;0.371601
2.06;0.588168;0.117766;0.200226;1.84379;0.364807
2.08;0.58348;0.114028;0.195428;1.87839;0.358087
2.1;0.578821;0.110403;0.190738;1.91391;0.351443
2.12;0.574193;0.106888;0.186154;1.95035;0.344875
2.14;0.569595;0.10348;0.181673;1.98775;0.338387
2.16;0.565028;0.1001767;0.177295;2.02611;0.331979
2.18;0.560492;0.0969749;0.173017;2.06547;0.325654
2.2;0.555988;0.0938721;0.168838;2.10583;0.319413
2.22;0.551515;0.0908655;0.164756;2.14722;0.313256
2.24;0.547075;0.0879526;0.160769;2.18966;0.307184
2.26;0.542666;0.0851307;0.156875;2.23317;0.301199
2.28;0.53829;0.0823973;0.153072;2.27777;0.295301
2.3;0.533946;0.0797499;0.14936;2.32348;0.289491
2.32;0.529634;0.0771861;0.145735;2.37034;0.283769
2.34;0.525355;0.0747035;0.142196;2.41835;0.278135
2.36;0.521109;0.0722997;0.138742;2.46754;0.27259
2.38;0.516896;0.0699725;O.H5371;2.51795;0.267134
2.4;0.512715;0.0677195;0.13208;2.56958;0.261766
2.42;0.508568;0.0655386;0.128869;2.62248;0.256486
2.44;0.504453;0.0634276;0.125735;2.67665;0.251295
2.46;0.500372;0.0613845;0.122678;2.73213;0.246192
2.48;0.4S,6323;0.0594072;0.119695;2.78895;0.241176
2.5;0.492308;0.0574937;0.116784;2.84713;0.236248
2.52;0.488325;0.0556421;O.113945;2.9067;0.231406
2.54;0.484375;0.0538504;0.111175;2.96769;0.226651
2.56;0.480459;0.0521168;0.108473;3.03012;0.221981
2.58;0.476575;0.0504395;0.105838;3.09403;0.217396
2.6;0.472724;0.0488168;0.103267;3.15944;0.212895
2.62;0.468905;0.047247;0.10076;3.22639;0.208477
2.64;0.46512;0.0457283;0.098315;3.2949;0.204142
2.66;0.461367;0.0442592;0.095931;3.36501;0.199889
2.68;0.457646;0.0428382;0.093606;3.43675;0.195716
2.7;0.453957;0.0414636;0.091338;3.51016;0.191624
2.72;0.450301;0.040134;0.089127;3.58525;0.18761
2.74;0.446677;0.038848;0.086971;3.66208;0.183674
2.76;0.443085;0.0376041;0.084869;3.74066;0.179815
2.78;0.439525;0.036401;0.082819;3.82105;0.176032
2.8;0.435996;0.0352375;0.080821;3.90326;0.172325
2.82;0.432499;0.0341121;0.078872;3.98735;0.168691
2.84;0.429033;0.0330237;0.076972;4.07334;0.165129
2.86;0.425598;0.031971;0.07512;4.16128;0.16164
2.88;0.422195;0.030953;0.073315;4.25119;0.158221
2.9;0.418822;0.0299684;O.o71554;4.34313;0.154872
2.92;0.41548;0.0290162;0.069838;4.43712;0.151591
2.94;0.412168;0.0280953;0.068165;4.53321;0.148378
2.96;0.408887;0.0272047;0.066533;4.63144;0.145231
2.98;0.405636;0.0263433;0.064943;4.73185;0.142149
3;0.402414;0.0255103;0.063393;4.83448;0.139131
3.02;0.399223;0.0247046;0.061882;4.93938;0.1361766
3.04;0.396061;0.0239254;0.060408;5.04659;0.1332838
3.06;0.392928;0.0231718;0.058972;5.15615;0.1304518
3.08;0.389825;0.0224429;0.057572;5.2681;0.1276795
3.1;0.38675;0.021738;0.056207;5.3825;0.1249658
3.12;0.383704;0.0210561;0.054876;5.49938;0.1223098
3.14;0.380686;0.0203967;0.053579;5.61881;0.1197102
3.16;0.377697;0.0197588;0.052314;5.74081;0.1171661
3.18;0.374736;0.0191418;0.051081;5.86545;0.1146764
3.2;0.371802;0.0185451;0.049879;5.99276;0.1122401
3.22;0.368897;0.0179678;0.048707;6.12281;0.1098561
3.24;0.366018;0.0174094;0.047564;6.25564;0.1075235
3.26;0.363167;0.0168692;0.04645;6.3913;0.1052412
3.28;0.360343;0.0163467;0.045364;6.52985;0.1030082
3.3;0.357545;0.0158412;0.044305;6.67134;0.1008236
3.32;0.354774;0.0153522;0.043273;6.81582;0.0986864
3.34;0.352029;0.014879;0.042266;6.96334;0.0965956
3.36;0.34931;0.0144213;0.041285;7.11397;0.0945503
3.38;0.346617;0.0139784;0.040328;7.26776;0.0925496
3.4;0.34395;0.0135499;0.039395;7.42477;0.0905925
3.42;0.341308;0.0131352;0.038485;7.58505;0.0886782
3.44;0.338691;0.012734;0.037598;7.74866;0.0868058
3.46;0.336099;0.0123458;0.036733;7.91567;0.0849743
3.48;0.333532;0.0119701;0.035889;8.08613;0.083183
3.5;0.330989;0.0116065;0.035066;8.76011;0.0814309
3.52;0.32847;0.0112547;0.034264;8.43767;0.0797174
3.54;0.325976;0.0109i41;0.033481;8.61887;0.0780414
3.56;0.323505;0.0105845;0.032718;8.80377;0.0764023
3.58;0.321058;0.0102655;0.031974;8.99245;0.0747992
3.6;0.318634;0.0099567;0.031248;9.185;0.0732314
3.62;0.316233;0.0096578;0.03054;9.3814;0.0716981
3.64;0.313855;0.0093684;0.029849;9.5818;0.0701986
3.66;0.3115;0.0090883;0.029176;9.7862;0.0687321
3.68;Q.309167;0.0088171;0.028519;9.9948;0.0672979
3.7;0.306857;0.0085545;0.027878;10.2075;0.0658954
3.72;0.304568;0.0083003;0.027253;10.4245;0.0645237
3.74;0.302302;0.0080541;0.026643;10.6458;0.0631822
3.76;0.300057;0.0078158;0.026048;10.8716;0.0618704
3.78;0.297833;0.0075849;0.025467;11.1018;0.0605874
3.8;0.295631;0.0073614;0.024901;11.3366;0.0593327
3.82;0.293449;0.0071449;0.024348;11.576;0.0581057
3.84;0.291288;0.0069352;0.023809;11.8201;0.0569057
3.86;0.289148;0.0067321;0.023283;12.069;0.0557321
3.88;0.287028;0.0065354;0.022769;12.3227;0.0545843
3.9;0.284929;0.0063449;0.022268;12.5815;0.0534618
3.92;0.282849;0.0061603;0.021779;12.8452;0.0523641
3.94;0.280769;0.0059814;0.021302;13.1141;0.0512904
3.96;0.278748;0.0058082;0.020837;13.3882;0.0502404
3.98;0.276727;0.0056403;0.020382;13.6676;0.0492134
4;0.274725;0.0054776;0.019939;13.9523;0.048209
